MISSOURI CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
29,55388,185,04
29,55424,211,06
29,55478,053,04
29,55550,189,01
29,55640,073,03
29,55694,181,08
29,55766,043,07
29,55892,186,08
29,55910,071,03
29,55910,189,02
29,55964,189,01
29,56036,127,06
29,56144,137,06
29,56226,099,03
29,56272,187,08
29,56288,165,06
29,56306,071,03
29,56342,143,08
29,56360,147,06
29,56396,189,01
29,56414,189,01
29,56432,155,08
29,56468,013,04
29,56558,061,06
29,56612,163,06
29,56620,099,03
29,56756,037,04
29,56882,219,03
29,56900,207,08
29,57080,173,06
29,57116,157,08
29,57278,099,03
29,57332,005,06
29,57368,105,04
29,57404,147,06
29,57422,223,08
29,57494,009,07
29,57494,109,07
29,57512,019,04
29,57602,053,04
29,57656,093,08
29,57800,189,01
29,57818,119,07
29,57926,133,08
29,58088,215,08
29,58178,165,06
29,58196,165,06
29,58250,049,06
29,58394,037,04
29,58394,095,05
29,58448,167,07
29,58520,047,06
29,58574,103,06
29,58628,031,08
29,58898,211,06
29,58916,025,06
29,58934,091,08
29,59060,153,08
29,59096,023,08
29,59150,183,03
29,59186,143,08
29,59186,155,08
29,59330,221,08
29,59420,171,06
29,59726,053,04
29,59816,047,06
29,59870,085,04
29,59942,129,06
29,60140,097,07
29,60158,115,06
29,60176,009,07
29,60284,207,08
29,60356,197,06
29,60410,147,06
29,60428,023,08
29,60590,047,05
29,60644,129,06
29,60716,147,06
29,60734,215,08
29,60752,037,04
29,60788,095,05
29,60824,177,05
29,60842,003,06
29,60986,145,07
29,61094,097,07
29,61112,209,07
29,61166,175,04
29,61184,173,06
29,61238,043,07
29,61238,077,07
29,61292,045,06
29,61328,139,03
29,61364,217,04
29,61418,013,04
29,61562,029,04
29,61562,105,04
29,61562,169,04
29,61670,177,05
29,61706,189,01
29,61706,189,02
29,61886,165,06
29,61904,081,06
29,61994,143,08
29,62030,145,07
29,62056,095,05
29,62156,165,06
29,62192,189,01
29,62210,037,04
29,62228,069,08
29,62498,019,04
29,62570,213,07
29,62660,189,01
29,62660,189,02
29,62696,005,06
29,62786,013,04
29,62894,077,07
29,62894,225,07
29,62912,161,08
29,63074,185,04
29,63110,073,03
29,63200,003,06
29,63236,041,06
29,63560,007,06
29,63596,021,06
29,63704,051,03
29,63776,199,06
29,63857,043,07
29,63857,213,07
29,63902,145,07
29,63956,189,01
29,63956,189,02
29,64082,183,02
29,64082,183,03
29,64136,071,03
29,64154,163,06
29,64172,055,08
29,64180,186,08
29,64190,131,03
29,64244,045,06
29,64370,189,02
29,64424,161,08
29,64478,189,01
29,64550,021,06
29,65000,510,01
29,65018,051,03
29,65034,186,08
29,65108,183,03
29,65126,183,02
29,65126,183,03
29,65144,169,04
29,65162,051,03
29,65234,065,08
29,65450,041,06
29,65954,189,02
29,65990,097,07
29,66044,003,06
29,66134,217,04
29,66337,099,03
29,66368,031,08
29,66368,201,08
29,66440,159,04
29,66476,017,08
29,66530,009,07
29,66638,069,08
29,66674,145,07
29,66800,225,04
29,67178,205,06
29,67196,205,06
29,67214,217,04
29,67232,009,07
29,67232,209,07
29,67358,227,06
29,67628,145,07
29,67632,145,07
29,67700,189,01
29,67700,189,02
29,67718,095,06
29,67790,143,08
29,67790,201,08
29,67808,113,03
29,67880,145,07
29,68132,147,06
29,68204,195,05
29,68384,159,04
29,68420,047,06
29,68420,165,06
29,68762,091,08
29,68852,121,06
29,68870,199,06
29,68888,057,04
29,68942,129,06
29,69230,119,07
29,69266,189,01
29,69302,043,07
29,69464,079,06
29,69518,043,07
29,70000,043,07
29,70000,077,07
29,70270,075,06
29,70414,145,07
29,70558,155,08
29,70576,055,08
29,70648,145,07
29,70738,063,06
29,70828,039,04
29,70954,217,04
29,70990,109,07
29,71008,029,04
29,71008,105,04
29,71026,137,06
29,71044,141,04
29,71062,077,07
29,71098,037,04
29,71224,019,04
29,71368,047,05
29,71368,047,06
29,71368,095,05
29,71440,055,08
29,71440,071,03
29,71512,203,08
29,71512,215,08
29,71620,041,06
29,71628,153,08
29,71728,029,03
29,71728,141,04
29,71746,189,02
29,71890,195,05
29,72034,189,01
29,72106,141,04
29,72196,143,08
29,72232,213,07
29,72304,051,03
29,72340,005,06
29,72376,163,06
29,72780,187,08
29,72826,149,08
29,72898,153,08
29,73006,149,08
29,73127,219,03
29,73240,083,04
29,73330,033,06
29,73348,079,06
29,73420,135,04
29,73618,189,02
29,73690,165,06
29,73816,079,06
29,73852,049,06
29,73870,041,06
29,73942,113,03
29,73978,219,03
29,74014,113,03
29,74176,049,06
29,74194,131,03
29,74284,189,02
29,74473,039,04
29,74626,071,03
29,75130,063,06
29,75166,171,06
29,75202,095,05
29,75220,189,01
29,75238,189,01
29,75310,059,04
29,75346,083,04
29,75364,117,06
29,75472,189,02
29,75580,035,08
29,75688,007,06
29,75688,173,06
29,75706,007,04
29,75724,201,08
29,75796,189,01
29,75814,189,01
29,75886,109,07
29,75922,141,04
29,76012,093,08
29,76102,125,03
29,76157,029,03
29,76192,071,03
29,76246,189,01
29,76264,189,01
29,76390,185,04
29,76444,097,07
29,76660,217,04
29,76840,077,07
29,76966,155,08
29,77002,051,03
29,77092,101,04
29,77128,219,03
29,77146,015,04
29,77182,189,02
29,77200,009,07
29,77416,071,03
29,77794,153,08
29,77848,005,06
29,77866,107,05
29,77920,045,06
29,77992,169,04
29,78028,063,06
29,78046,165,06
29,78064,085,04
29,78118,097,07
29,78154,189,01
29,78154,189,02
29,78226,186,08
29,78314,183,02
29,78334,183,02
29,78352,107,05
29,78370,189,01
29,78406,139,03
29,78424,145,07
29,78442,183,03
29,78514,183,03
29,78622,005,06
29,78838,037,04
29,78856,165,06
29,78910,151,03
29,78928,091,08
29,79000,055,08
29,79054,189,02
29,79090,085,04
29,79126,009,07
29,79180,117,06
29,79432,101,04
29,79558,113,03
29,79612,031,08
29,79756,189,02
29,79820,189,02
29,79882,077,07
29,80026,223,08
29,80098,091,08
29,80260,133,08
29,80314,189,02
29,80350,083,04
29,80350,159,04
29,80380,053,04
29,80422,113,03
29,80440,211,06
29,80512,203,08
29,80548,061,06
29,80767,177,05
29,80962,189,01
29,81016,053,04
29,81070,227,06
29,81088,187,08
29,81106,171,06
29,81124,219,03
29,81142,045,06
29,81178,133,08
29,81430,017,08
